z,exact_sigmoid,poly_sigmoid
[-1.71093129 -0.83821876  0.96442418],[0.15304296 0.30191007 0.72400672],[0.02835789 0.27990615 0.72715433]
[-0.50196713  0.36113203  0.11215864],[0.3770785  0.58931444 0.5280103 ],[0.37072865 0.58832676 0.52785097]
[ 0.33055936  1.00456945 -0.96075768],[0.58189547 0.73195604 0.27672652],[0.5810008  0.73600497 0.24596475]
[0.33053485 1.45456419 0.80434845],[0.58188951 0.81069987 0.69090389],[0.58099491 0.83190469 0.69138247]
[-1.60856348 -0.48624233  1.80510027],[0.16678815 0.38077918 0.85876865],[0.05904698 0.37489294 0.90239926]
[-1.02661942 -0.2816514   0.2715419 ],[0.26374003 0.43004896 0.5674714 ],[0.22753593 0.42839724 0.56677945]
[-0.56513966  0.0490326   0.11821504],[0.36235908 0.51225569 0.52951939],[0.35392434 0.51222209 0.52934414]
[-1.63303906 -0.42702357  0.64835198],[0.16341447 0.3948373  0.65663899],[0.05173799 0.39050887 0.65578259]
[ 3.18574491  1.4579383  -3.01452416],[0.96029429 0.81121714 0.04677402],[ 1.14420167  0.83260081 -0.38994138]
[ 1.41654356  1.64376281 -1.44542203],[0.80479598 0.83804629 0.19070712],[0.82403696 0.87041136 0.10730582]
[-1.27610753 -0.97238377  0.48025156],[0.21821354 0.27440562 0.61780728],[0.15654636 0.2427211  0.61660327]
[ 0.39050379  1.04747241 -0.58167963],[0.59640397 0.74028924 0.3585462 ],[0.59533855 0.74541013 0.34950482]
[-1.47291857 -0.97741196  0.65407386],[0.18649941 0.27340561 0.65792791],[0.09922802 0.241317   0.65710128]
[ 1.17499566  0.55472798 -0.81670886],[0.76404682 0.63523182 0.30646272],[0.77303969 0.63406615 0.28581758]
[-1.1362368  -0.54046583  0.43303952],[0.24301196 0.36807922 0.60659924],[0.19657529 0.36050199 0.60544703]
[-0.60239809  0.69784925 -0.02742211],[0.35379524 0.66771075 0.4931449 ],[0.34395723 0.66715741 0.49313319]
[ 0.59314159  0.98460715 -0.69433416],[0.64408565 0.72802142 0.33306961],[0.64300814 0.73161002 0.31918496]
[ 2.2716991   0.37476737 -2.16990465],[0.90650589 0.59261044 0.1024858 ],[ 0.99051552  0.59158508 -0.11310346]
[-1.03170952 -0.00198724  0.66384707],[0.26275281 0.49950319 0.66012405],[0.22610625 0.49950313 0.65935137]
[ 0.33210699  0.67642426 -0.36155468],[0.58227195 0.66294016 0.41058327],[0.58137232 0.66224282 0.4076505 ]
[-1.12286545 -1.00618477  0.63781985],[0.24548016 0.26772716 0.65426047],[0.20037124 0.23326769 0.65335275]
[-0.97599255  0.07512919  1.23714007],[0.27368767 0.51877347 0.77506581],[0.24171344 0.51869763 0.78632728]
[-0.46755693  0.01260349  1.37635817],[0.38519465 0.50315083 0.79840547],[0.37983162 0.50314849 0.81567412]
[-1.25351158 -0.33903846  0.30842673],[0.22209286 0.41604307 0.5765012 ],[0.16305273 0.41351618 0.57567978]
[ 2.17438371  0.93882073 -2.41511184],[0.89792546 0.71886139 0.08202758],[ 0.97267676  0.72148442 -0.19126944]
[ 2.87287776  0.97547266 -1.82869169],[0.94648929 0.72620897 0.1383942 ],[ 1.09441804  0.72959496 -0.00733462]
[-0.70714967  0.90323369  0.5180469 ],[0.33022896 0.71161357 0.62669095],[0.31571167 0.71357096 0.62548614]
[-1.05677538 -0.6788863   0.47785975],[0.25792617 0.33650991 0.61724236],[0.21905454 0.32336513 0.61603969]
[ 2.68549858  0.52905406 -2.90688987],[0.93616551 0.62926246 0.05181402],[ 1.06319611  0.62806504 -0.3534726 ]
[-0.91812655 -0.8399038   0.24936892],[0.28533978 0.30155505 0.56202116],[0.25782402 0.27944247 0.56140946]
[-0.57099219  0.07568269  0.06581527],[0.36100791 0.51891165 0.51644788],[0.35236147 0.51883476 0.51638884]
[-1.02888953 -0.3490409   0.35254285],[0.26329945 0.41361502 0.58723408],[0.22689841 0.41091233 0.58627142]
[0.09207966 0.99077534 0.64351615],[0.52300367 0.72924104 0.65554786],[0.52289274 0.7329693  0.65466734]
[-1.43212576 -1.0092737   0.56858472],[0.19276768 0.26712201 0.63843654],[0.1112038  0.23240208 0.63729685]
[-1.16953321 -0.32387353  0.807266  ],[0.23693937 0.41973203 0.6915266 ],[0.18709958 0.41745821 0.69204132]
[-0.77753813 -0.39247088  0.19035357],[0.31485072 0.40312263 0.54744522],[0.29654699 0.39957178 0.54704487]
[-1.42820043 -0.72591383  0.5661583 ],[0.19337923 0.32609205 0.63787625],[0.11235354 0.31061728 0.63673155]
[-0.2767352   0.18036662  0.68617336],[0.43125437 0.54496981 0.66511513],[0.42966746 0.54460367 0.66448083]
[-1.44612042 -0.67192023  0.64461154],[0.19059936 0.338067   0.65579516],[0.10710093 0.32524779 0.65492002]
[-1.97909766 -0.66483537  0.87470783],[0.12141506 0.33965425 0.70572435],[-0.05352683  0.32716107  0.70720025]
[-0.88140005 -0.65220107  0.14792906],[0.29288774 0.3424937  0.53691497],[0.267997   0.33056924 0.53665402]
[ 0.0010622  -0.20464105 -0.11203519],[0.50026555 0.44901753 0.47202046],[0.50026553 0.44821157 0.47180292]
[-0.76646083  0.11841332  0.27528174],[0.3172452  0.52956879 0.5683891 ],[0.29957286 0.529393   0.56768373]
[ 0.61297075  0.48578353 -0.97367609],[0.64861817 0.61911264 0.27414839],[0.64760669 0.6179061  0.2423603 ]
[ 2.37351302  2.09151349 -0.91386714],[0.91478511 0.89007559 0.28620915],[1.00887479 0.95726194 0.25900592]
[-0.46553876 -0.35710293 -0.22944251],[0.3856727  0.41166105 0.44288969],[0.38036442 0.40881143 0.44184971]
[ 2.59295495  1.11534883 -3.0971589 ],[0.93040679 0.75312495 0.0432246 ],[ 1.04738751  0.76017716 -0.41817562]
[ 0.57521733  0.45052283 -0.59266237],[0.63996617 0.61076353 0.35602422],[0.63884121 0.60958615 0.34656568]
[-1.28031489 -0.75582469  0.8052697 ],[0.21749663 0.31955346 0.69110059],[0.15533318 0.30247476 0.69159053]
[-0.18388909 -0.31600297 -0.29959837],[0.45415684 0.42165016 0.42565567],[0.4535205  0.41950139 0.42375402]
[-1.12817338 -0.1908783   0.40961503],[0.24449836 0.45242479 0.60099557],[0.19886503 0.45173391 0.59988699]
[-0.71718033 -0.56771042  0.18328258],[0.3280142  0.3617653  0.54569281],[0.3129897  0.35323797 0.54531676]
[ 3.58014904  1.74303082 -3.16098783],[0.97288421 0.85107163 0.0406605 ],[ 1.20277525  0.89018536 -0.44012462]
[-1.13172934 -0.61202382 -1.51882237],[0.2438421  0.35159768 0.179635  ],[0.19785549 0.34137545 0.08569209]
[-1.46801774 -0.89011433  0.77462915],[0.18724409 0.29108623 0.68452142],[0.10066942 0.26558686 0.68465653]
[-1.46472862 -0.54836742  1.19213585],[0.18774516 0.36624326 0.76712284],[0.1016364  0.35839754 0.77671614]
[ 0.74292107  0.41710837 -1.1971283 ],[0.67763428 0.6027911  0.23198647],[0.67745129 0.6016674  0.17922118]
[ 0.53764592  0.75696298 -0.22194791],[0.63126463 0.680694   0.44473968],[0.63007553 0.68064585 0.44377411]
[-1.23857334 -0.32020647  0.26269581],[0.22468441 0.42062543 0.56529887],[0.16734571 0.4184104  0.56463882]
[ 1.65903232 -0.45600479 -1.76861534],[0.84010806 0.38793403 0.14571461],[0.87347226 0.3828797  0.01092616]
[ 2.50868962  1.51781832 -2.54096937],[0.92474875 0.82021699 0.07303552],[ 1.03276955  0.84489799 -0.23209022]
[ 1.54361329  0.95431589 -1.50543717],[0.82398938 0.72198231 0.18161599],[0.85016219 0.72491819 0.08964559]
[ 0.29139333  0.60434902 -0.60377667],[0.57233721 0.64665066 0.35348013],[0.57157468 0.64560869 0.34358764]
[-1.0842324  -0.76396121  0.38629652],[0.25270591 0.31778686 0.59539085],[0.2113085  0.30025515 0.59433576]
[ 3.3283387   2.55310355 -2.33632287],[0.9653883  0.92778174 0.08815906],[ 1.1659171   1.04050082 -0.16595679]
[ 0.87530066  1.30252985 -1.20602027],[0.70584746 0.78626045 0.23040597],[0.7073329  0.8001837  0.17667766]
[-1.27079077 -0.58496042  0.6085888 ],[0.21912192 0.357792   0.64761882],[0.15807867 0.34862721 0.64659149]
[-0.52569585  0.25660689  0.02203361],[0.37152132 0.56380201 0.50550818],[0.36443069 0.56316402 0.50550112]
[-0.4260074  -0.4512047   0.73845815],[0.39508013 0.38907438 0.6766586 ],[0.39077592 0.38414504 0.67643473]
[-0.1716042   0.57371061 -0.11900483],[0.45720392 0.63961894 0.47028385],[0.45665723 0.63849049 0.47003636]
[-0.10007336  0.2278292  -0.27299336],[0.47500252 0.5567122  0.43217238],[0.47483144 0.55617871 0.43063378]
[ 0.75387477  0.78713101 -1.028261  ],[0.68002241 0.68721497 0.26342138],[0.67994379 0.68748912 0.22707494]
[-1.31348746 -0.30808565  0.34545892],[0.21190385 0.42358208 0.58551595],[0.14574939 0.42155484 0.5845746 ]
[ 0.35191784  0.97555872 -0.67303091],[0.58708257 0.72622608 0.3378185 ],[0.58612177 0.72961396 0.32494771]
[ 0.05973516 -0.02723301 -0.17789943],[0.51492935 0.49319217 0.45564207],[0.51488027 0.49318062 0.45505042]
[-0.34381458 -0.10975118  0.3862529 ],[0.41488317 0.47258971 0.59538034],[0.41227323 0.47238152 0.59432536]
[-0.23822938  0.28173223 -0.09473171],[0.44072274 0.56997085 0.47633477],[0.43959136 0.56924246 0.47618246]
[ 1.89252439  0.6997883  -1.5251104 ],[0.86904309 0.66814083 0.17871022],[0.91940637 0.66760152 0.08383297]
[-0.40740888  0.2091024   0.62484984],[0.39953359 0.55208595 0.65132076],[0.39565805 0.55161974 0.6503559 ]
[ 0.34104306  0.97745634 -0.74608308],[0.58444387 0.72660321 0.32167538],[0.58351611 0.73003277 0.30512963]
[ 3.04078511  1.04677625 -2.81712769],[0.95438302 0.74015537 0.05640561],[ 1.12150067  0.74525795 -0.32332505]
[ 0.83555354  0.77631647 -1.05467895],[0.69752791 0.68488569 0.25832763],[0.69841614 0.68503911 0.21964505]
[ 3.15610084  1.33323292 -3.00273951],[0.95914844 0.79137489 0.04730226],[ 1.13961062  0.80664558 -0.38593155]
[ 0.08948467 -0.60887477 -0.3851481 ],[0.52235625 0.35231592 0.40488584],[0.52225105 0.34222038 0.40148789]
[-0.59035124  0.32197136  0.17834029],[0.35655427 0.57980461 0.54446728],[0.34718447 0.57893786 0.54410799]
[ 0.01818879 -0.71477168 -0.34487238],[0.50454707 0.32854533 0.41462641],[0.50454223 0.3136436  0.41199785]
[ 1.53931327  0.06550174 -1.59629578],[0.82336487 0.51636958 0.16849997],[0.84928604 0.51631108 0.06270365]
[-0.40242563  0.76245053 -0.13442833],[0.4007297  0.68188553 0.46644343],[0.3969644  0.68189267 0.46612185]
[-0.96825913  0.45323998  0.40828608],[0.27522763 0.61140929 0.60067684],[0.24387233 0.6102286  0.59957106]
[ 1.45098708  0.74091984 -1.69737669],[0.8101503  0.67719697 0.1548082 ],[0.83116632 0.67699553 0.03243951]
[-0.46097531  0.10457738 -0.01020553],[0.38675448 0.52612054 0.49744864],[0.3815687  0.5259803  0.49744706]
[-0.70820186  0.31936758  0.5174579 ],[0.32999628 0.57917012 0.62655315],[0.31542629 0.57831196 0.62534804]
[-0.0956699  -1.14487774 -0.50490531],[0.47610075 0.24142593 0.3763886 ],[0.47594523 0.19411939 0.36994973]
[-0.94963569 -1.04313117  0.30849252],[0.27895809 0.26054629 0.57651726],[0.24906396 0.22289537 0.57569562]
[-0.44152287 -0.15233432  0.92963695],[0.39137816 0.46198989 0.71700162],[0.38669514 0.46156833 0.71944586]
[ 0.59422533  0.265366   -0.87408904],[0.64433404 0.56595491 0.29440417],[0.64325978 0.56528521 0.27001726]
[ 1.58268598  1.65740016 -1.5540482 ],[0.82958458 0.8398887  0.17450235],[0.85809807 0.87314541 0.07526196]
[ 0.13783229  1.51072654 -0.34817738],[0.53440362 0.81916885 0.41382447],[0.53417311 0.84344721 0.41113724]
[-1.39956351 -0.58414656  0.47212434],[0.19788539 0.35797903 0.61588644],[0.12072745 0.34884495 0.61468756]
[-1.00815146 -0.85032208  0.46729194],[0.26734177 0.2993653  0.6147426 ],[0.23271659 0.27657377 0.61354756]
[-0.81976978 -0.85066344  0.03801659],[0.30581253 0.2992937  0.509503  ],[0.28497722 0.27647972 0.50948247]
[-0.64960085  0.81488427  0.05458213],[0.34307949 0.69314933 0.51364215],[0.33127007 0.69376052 0.51360084]
[1.10945401 1.62451466 1.47529823],[0.75202731 0.83541682 0.81386136],[0.75890018 0.86654295 0.83617698]
[-1.49580716 -0.74961219  0.8797016 ],[0.1830517  0.32090581 0.70676038],[0.09248662 0.30416818 0.70831728]
[-1.39352499 -0.59354898  0.75716366],[0.19884561 0.35582097 0.68073762],[0.12249008 0.34632825 0.68069146]
[ 0.11250071  0.29443316 -0.27599223],[0.52809555 0.5730811  0.43143661],[0.52793533 0.57230793 0.42985937]
[-1.63060065 -0.45934716  0.95974768],[0.1637481  0.38714071 0.72307128],[0.05246696 0.38199821 0.72612019]
[-0.61138857 -0.90955284  0.19749175],[0.35174251 0.28709135 0.54921309],[0.34154592 0.26020249 0.54878789]
[-0.03463649  0.44907385 -0.52078975],[0.49134174 0.61041901 0.37266758],[0.49132288 0.60924345 0.36573423]
[-0.97175884 -0.04682965  0.07081373],[0.27453007 0.48829473 0.51769604],[0.24289556 0.48825969 0.51762821]
[-0.81713238  0.68568526  0.69961696],[0.30637272 0.66500641 0.66810284],[0.28570133 0.66436885 0.66756228]
[ 0.23790614  1.03768136 -0.89054849],[0.55919759 0.73840238 0.29099665],[0.55862755 0.7432686  0.26546673]
[-1.02915212 -0.61906252  0.46164772],[0.26324852 0.3499947  0.61340499],[0.22682466 0.33948579 0.61221515]
[-0.21373573  0.19198427 -0.32620754],[0.44676856 0.54784919 0.41916367],[0.44588082 0.5474432  0.41685195]
[ 0.71427049  0.94543935 -1.22269755],[0.67134409 0.72019707 0.22746208],[0.67091489 0.722952   0.17190077]
[-0.31425331  0.20021323 -0.15074527],[0.42207689 0.54988677 0.46238489],[0.41995534 0.54945203 0.46197282]
[ 2.09496499 -0.08956688 -2.3711284 ],[0.89041284 0.47762324 0.08540096],[ 0.95790807  0.47748795 -0.17711585]
[-0.36935338 -0.40530321 -0.13027694],[0.40869728 0.40003886 0.46747675],[0.40561532 0.39621014 0.46717618]
[-0.99010759 -0.50463572  0.47297846],[0.27089083 0.37645188 0.61608848],[0.23776841 0.37002121 0.61488899]
[ 0.29761088  0.64621941 -0.53157701],[0.57385837 0.65615801 0.37014915],[0.57307414 0.65529086 0.36286714]
[-0.13496751  0.0650409   0.83524225],[0.46630925 0.51625449 0.69746223],[0.46598488 0.51619677 0.69834612]
[ 2.35119874  0.07327832 -2.58861337],[0.91302946 0.51831139 0.06987485],[ 1.00487765  0.51823903 -0.24766713]
[ 1.80653737  0.44015856 -2.12974011],[0.85894286 0.60829681 0.10623967],[ 0.90268068  0.60713355 -0.10047192]
[ 1.23980129 -0.23838933 -1.55595337],[0.77552942 0.44068331 0.17422808],[0.78689371 0.43955023 0.07469679]
[ 0.43038596  0.8956343  -0.71814763],[0.60596583 0.71005152 0.32780102],[0.60481801 0.71187616 0.31272705]
[ 0.15168847  0.29400224 -0.76829699],[0.53784957 0.57297567 0.31684762],[0.53757698 0.572204   0.29907155]
[-1.1352874  -0.3874024   0.44882563],[0.24318665 0.40434278 0.61035998],[0.19684499 0.40089819 0.60918474]
[ 2.78624879  0.67678006 -3.0990874 ],[0.9419282  0.66301966 0.04314491],[ 1.08011446  0.66232455 -0.41883699]
[-0.79231876 -0.78561605  0.09894819],[0.311671   0.31311076 0.52471688],[0.29250378 0.2943381  0.52459019]
[ 1.35128359  0.65591754 -2.01138314],[0.7943394  0.65834272 0.11801294],[ 0.81043139  0.65752597 -0.06353072]
[ 0.16371421  0.52035091 -0.73246961],[0.54083738 0.62722982 0.32465302],[0.54052652 0.62602625 0.30883492]
[ 0.63438187  0.76846402 -0.8470092 ],[0.65348237 0.68318854 0.30006062],[0.65255886 0.68325795 0.27748633]
[ 0.37600974  0.67431633 -0.93827243],[0.59291034 0.66246898 0.28124944],[0.59188168 0.66175854 0.25222656]
[-1.16238166  0.15407661  0.75041427],[0.23823479 0.53844313 0.67926896],[0.18913762 0.53816306 0.67915674]
[-1.16763708 -0.46434916  0.31468913],[0.23728236 0.38595459 0.57802941],[0.18764008 0.38067841 0.57718684]
[ 1.9917298   1.33509052 -1.53284097],[0.87992602 0.79168142 0.1775784 ],[0.93842764 0.80703563 0.08154574]
[-0.84475996  0.19168457  0.1537017 ],[0.30053323 0.54777495 0.53834996],[0.27810572 0.54737    0.53807106]
[ 1.93819928  1.45011056 -2.34800526],[0.87415418 0.81001545 0.08722446],[ 0.92820057  0.83098533 -0.16969825]
[ 0.99600038  0.22071317 -1.66065039],[0.73027148 0.55495538 0.15967471],[0.73411984 0.55444758 0.04347101]
[ 0.21024356  0.3339872  -0.45924726],[0.55236813 0.58272921 0.38716441],[0.55189785 0.58182359 0.38202456]
[ 0.52327807  0.72431152 -0.77747293],[0.62791397 0.67355574 0.31486478],[0.62671222 0.67320847 0.29656481]
[ 1.29374696  1.05791637 -1.37810442],[0.78478072 0.74229216 0.20131361],[0.79833002 0.74769129 0.12698632]
[-1.23858194  0.40361395  0.96942886],[0.22468292 0.59955564 0.72500564],[0.16734324 0.59845992 0.72826033]
[-0.64941821 -0.74820172  0.10400531],[0.34312065 0.32121326 0.52597791],[0.33131929 0.30455248 0.52583907]
[-1.17917272 -0.78824843  0.6567526 ],[0.23520098 0.31254489 0.65853053],[0.1843501  0.29361786 0.65771829]
[ 0.10422165  0.09541106 -0.55397357],[0.52603185 0.52383469 0.364943  ],[0.52589248 0.52371622 0.35690331]
[-0.10785917  1.70554153 -0.47917148],[0.47306132 0.84625711 0.38244779],[0.4728607  0.8827523  0.37676305]
[-1.56334316 -0.57175383  0.8278125 ],[0.17316745 0.36083224 0.6958922 ],[0.07250358 0.352158   0.69667402]
[-1.26140216 -0.65002908  0.46171105],[0.22073261 0.34298298 0.61342001],[0.16078243 0.33115466 0.61223011]
[-1.60549208 -0.34897389  0.84835427],[0.16721542 0.41363127 0.7002218 ],[0.05996291 0.41092979 0.70129299]
[-0.0168166  -0.49240949 -0.65820241],[0.49579595 0.37932612 0.34114353],[0.49579161 0.37326062 0.32895094]
[ 0.56559933  0.36027284 -0.73668091],[0.63774712 0.58910648 0.32373036],[0.63660129 0.58812126 0.30768929]
[ 0.35274648  0.4661472  -0.83723198],[0.58728343 0.61447145 0.30211808],[0.58632017 0.6132774  0.28017765]
[-0.87740265  0.23927991  0.24674708],[0.2937163  0.55953619 0.56137569],[0.26910181 0.55896115 0.56077351]
[ 0.41777826  1.09848237 -0.53984509],[0.60295149 0.74997564 0.36822362],[0.60182649 0.75652064 0.36066724]
[-0.88720316  0.31702466  0.38899914],[0.29168733 0.57859897 0.59604174],[0.26639227 0.5777486  0.59497998]
[ 0.42719334  0.27544534 -0.78225838],[0.60520326 0.56842924 0.31383336],[0.60406092 0.56772328 0.29525648]
[ 2.72742251  0.77384711 -3.02911146],[0.93862552 0.68435251 0.04612791],[ 1.07027313  0.68447919 -0.39491061]
[-0.19938688  0.77198486 -0.50083811],[0.45031776 0.6839501  0.37734373],[0.44955695 0.6840568  0.37102789]
[-0.13202698 -0.30240581 -0.43385006],[0.46704112 0.42496947 0.39320735],[0.46673179 0.42302681 0.3887141 ]
[ 2.11141134  0.86898319 -2.55814188],[0.89200736 0.70453408 0.07188141],[ 0.96098197  0.70591882 -0.23769682]
[-0.52402494 -0.22581167 -0.09259191],[0.37191155 0.44378575 0.47686855],[0.36487473 0.44278222 0.47672342]
[-0.53708514  0.44533755  0.24101373],[0.36886591 0.60953012 0.55996345],[0.36140181 0.6083595  0.55938212]
[ 0.36452292  1.249903   -0.8305634 ],[0.59013486 0.77728307 0.30352596],[0.58913758 0.78904189 0.28201162]
[-0.43493991  0.22579833  0.2632765 ],[0.39294734 0.55621096 0.56544156],[0.38842743 0.55568481 0.56477941]
[-1.17628899 -0.33289409  0.45950786],[0.2357201  0.41753661 0.61289742],[0.18517292 0.4151142  0.61170975]
[-0.41199111  0.03370753 -0.39613649],[0.39843479 0.50842608 0.40224094],[0.39445617 0.50840984 0.39861202]
[ 1.86322292  1.72113789 -2.38716664],[0.86567216 0.84827535 0.08415655],[ 0.91373174  0.88584974 -0.18227013]
[-1.8786292  -0.56842965  1.23411334],[0.13254641 0.36159925 0.77453769],[-0.02259601  0.3530459   0.7856828 ]
[-1.0568148  -0.44855221  0.50746739],[0.25791862 0.38970505 0.62421258],[0.21904344 0.38484396 0.623004  ]
[-0.15623126  0.28358725 -0.21454435],[0.46102144 0.57042547 0.4465687 ],[0.46057606 0.56969049 0.44567347]
[-0.37618242  1.10803529 -0.12704175],[0.40704798 0.75176265 0.46828221],[0.4038317  0.75859269 0.46799747]
[ 2.4500338   2.1748988  -2.53868369],[0.92056392 0.89797266 0.07319041],[ 1.02246847  0.97277193 -0.23134464]
[ 0.46236063  0.70519008 -0.94126156],[0.61357403 0.66933747 0.28064558],[0.6123835  0.66883812 0.25139501]
[-1.35145139 -1.03255576  1.14687665],[0.20563319 0.26258892 0.75893996],[0.13474084 0.22586849 0.76698927]
[ 1.40899459  0.29746014 -1.55066641],[0.80360732 0.57382151 0.17499004],[0.82246966 0.5730378  0.0762649 ]
[-0.4460172  -0.53640063 -0.23475223],[0.39030813 0.36902528 0.44157998],[0.38551173 0.36158396 0.44048531]
[-1.51951067 -0.65570429  0.65145115],[0.17953359 0.34170524 0.6573374 ],[0.08548864 0.3296247  0.65649696]
[ 0.29274414  0.45809772 -0.62294456],[0.57266781 0.61256281 0.34911205],[0.57190055 0.61137663 0.33844296]
[-0.49093524 -0.47491849 -0.02490995],[0.37967327 0.38345276 0.49377284],[0.37365093 0.37788716 0.49376321]
[-0.45070264 -0.57936501 -0.14567072],[0.38919372 0.35907872 0.46364658],[0.38427735 0.35012379 0.46326402]
[-1.09879941 -0.61770148  0.43603089],[0.24996492 0.3503044  0.60731287],[0.20718975 0.3398513  0.60615588]
[-0.56399513 -0.62674349  0.87579585],[0.36262357 0.34824931 0.70595026],[0.35422986 0.33742202 0.70744369]
[ 1.40945097  0.86072656 -1.85388498],[0.80367933 0.70281243 0.1354174 ],[ 0.82256446  0.70406889 -0.01502459]
[-0.26045489  0.09220018  0.49332621],[0.43525189 0.52303373 0.62088969],[0.43386873 0.52292253 0.61968099]
[ 0.84695578 -0.5680507  -1.1069683 ],[0.69992816 0.36168674 0.24843652],[0.70097893 0.3531471  0.20487724]
[-1.30905542 -0.76049876  0.68263304],[0.21264495 0.31853799 0.66432611],[0.14703175 0.30119994 0.66366844]
[ 1.41462057  0.79546498 -0.3369768 ],[0.80449371 0.68900356 0.41654403],[0.82363787 0.68937478 0.4140525 ]
[ 1.65989766  1.12743657 -1.68244088],[0.84022426 0.75536552 0.15677253],[0.87364551 0.76279244 0.03693067]
[-1.56024363 -0.50112596  0.95716457],[0.17361169 0.3772761  0.72255375],[0.07342369 0.3709516  0.72554868]
[-1.01321592 -0.57610313  0.26530043],[0.26635096 0.35982976 0.5659388 ],[0.23129692 0.3509958  0.56526934]
[-0.26928505  0.24297687  0.06750324],[0.43308262 0.56044712 0.5168694 ],[0.43159102 0.55985865 0.51680746]
[ 1.13458175  0.29291547 -1.59067841],[0.75668345 0.57270974 0.16928847],[0.7643363  0.57194188 0.06437653]
[ 0.63396059 -0.27174163 -0.85661545],[0.65338697 0.43247958 0.29804696],[0.65246156 0.43095694 0.27483929]
[ 2.58946556  1.1661151  -2.85340545],[0.93018052 0.76244208 0.05450555],[ 1.04678641  0.77113141 -0.3354802 ]
[-1.51600374 -1.0449996   0.68910695],[0.18005074 0.26018647 0.66576823],[0.08652506 0.22236974 0.66515371]
[-0.20590008 -0.1655885  -0.25442082],[0.44870607 0.45869721 0.43673568],[0.44788906 0.45819158 0.43542385]
[ 0.15498685  1.2067053  -0.45114848],[0.53866934 0.76971547 0.38908774],[0.5383864  0.77983426 0.38415986]
[ 1.0433105   0.88705703 -1.12619934],[0.73948826 0.70828247 0.24486318],[0.74450017 0.7099612  0.19942529]
[ 0.45699379  0.37804691 -1.17527344],[0.61230078 0.59340196 0.23590311],[0.6111158  0.59236794 0.18546262]
[ 0.06299246  1.19337145 -0.59375021],[0.51574291 0.7673435  0.35577485],[0.51568859 0.77698083 0.34627436]
[ 0.78630041  0.34687459 -0.92953244],[0.68703641 0.58585947 0.28301958],[0.68730108 0.58491382 0.25465643]
[-1.54462625 -0.91998869  0.61173179],[0.17586376 0.2849602  0.64833575],[0.07805538 0.25730714 0.64731971]
[ 2.71239179  1.2082585  -2.74854105],[0.93775391 0.76999066 0.0601691 ],[ 1.06774191  0.78016629 -0.30045243]
[-0.74656808  0.08071226  0.76171994],[0.32156956 0.52016712 0.68172704],[0.30499752 0.52008035 0.68172673]
[ 2.53904915  0.93877735 -2.76403581],[0.92683437 0.71885262 0.05929884],[ 1.03806073  0.72147479 -0.30560736]
[-0.67894405 -0.01813252  0.70471918],[0.33649702 0.49546699 0.66923324],[0.32334951 0.49546194 0.66873036]
[-0.95180456 -0.64302155  0.06923371],[0.27852206 0.34456383 0.51730152],[0.24845988 0.33304246 0.51723653]
[-1.23596131 -0.4372742   0.49851829],[0.22513976 0.39239067 0.62211106],[0.16809567 0.38781332 0.62090177]
[-1.09587773 -0.7684059   0.5187097 ],[0.25051308 0.31682404 0.626846  ],[0.20801635 0.29904181 0.62564153]
[ 0.37241915  0.5564282  -0.79206971],[0.5920434  0.63562569 0.31172443],[0.59102435 0.63446287 0.29257196]
[ 1.75458729  0.9911346  -1.98853543],[0.85253046 0.72931197 0.12041189],[ 0.89246817  0.73304843 -0.05644796]
[ 1.30046443 -0.22406373 -1.92539391],[0.78591313 0.44421725 0.12726128],[ 0.79974799  0.443231   -0.0369556 ]
[ 3.650525    0.77587331 -3.88938077],[0.97468026 0.68479004 0.02004787],[ 1.21273626  0.68493864 -0.69925443]
[ 1.66910436  0.86857002 -1.62282775],[0.84145637 0.70444806 0.16481526],[0.87548745 0.7058263  0.05478951]
[ 2.61430728  1.07582269 -2.78089169],[0.93177671 0.74570265 0.05836553],[ 1.05105778  0.75159476 -0.3112233 ]
[-0.89662386 -0.04225441  0.07918508],[0.28974479 0.48943797 0.51978593],[0.26378502 0.48940961 0.51970222]
[-1.27096761 -0.54910869  0.54835431],[0.21909166 0.36607122 0.63375369],[0.15802772 0.35820002 0.63257819]
[ 1.73666407  1.17203046 -1.86471011],[0.85026284 0.76351183 0.13415499],[ 0.88892599  0.77240278 -0.01833468]
[ 3.13236892 -0.75480574 -2.89001524],[0.95820836 0.31977506 0.05264936],[ 1.1359162   0.30275259 -0.34778663]
[-0.92140867 -1.29790089  0.22832051],[0.28467096 0.2145185  0.55683345],[0.25691292 0.15025658 0.55629817]
[ 1.15564104  0.71985223 -1.35767784],[0.76053977 0.67257448 0.20461797],[0.76887767 0.67219025 0.1329312 ]
[-0.4472406   0.27526084 -0.03283216],[0.39001704 0.56838398 0.4917927 ],[0.38518949 0.56767868 0.49177579]
[ 0.30523034  0.40663547 -0.41265367],[0.57572062 0.60028085 0.39827599],[0.5749101  0.59917858 0.39428234]
[ 3.30798051  1.21291422 -3.7028053 ],[0.96470158 0.77081418 0.02406106],[ 1.1628541   0.78116114 -0.63136283]
[ 0.21403789  1.57302019 -0.8498071 ],[0.55330612 0.82821373 0.29947333],[0.55282229 0.85613916 0.27671564]
[ 0.58862514  0.50290992 -0.74416693],[0.64304963 0.62314293 0.32209362],[0.64195909 0.6219337  0.3056515 ]
